estimator,lib,function,mean,stdev,n_samples,n_features,hyperparams_digest,dims_digest,init,max_iter,n_clusters,n_init,tol,n_iter,adjusted_rand_score
KMeans,daal4py,fit,0.011591944600013449,0.023832913028482602,10000,2,4ae9a7da314e5dc6c1fcf6ea6fda0e2a,d20d008faefbbe0f931b8b798b404983,k-means++,30,3,1,1e-16,22.0,
KMeans,daal4py,predict,0.003697300899966649,0.010464328769507994,1000,2,4ae9a7da314e5dc6c1fcf6ea6fda0e2a,ebe3c5ddf180ac6a272cdd05c473421f,k-means++,30,3,1,1e-16,,0.0011323450700105114
KMeans,daal4py,predict,0.0037547634000247854,0.010609761977670641,1,2,4ae9a7da314e5dc6c1fcf6ea6fda0e2a,ad6352385cc5e69d5c24fad28c7fd226,k-means++,30,3,1,1e-16,,0.0011323450700105114
KMeans,daal4py,fit,0.011543442500033052,0.01118351286032369,10000,2,acde85818fd0469c5a02db5b02d93d57,d20d008faefbbe0f931b8b798b404983,k-means++,30,10,1,1e-16,30.0,
KMeans,daal4py,predict,0.0038464973999680296,0.010821975766714686,1000,2,acde85818fd0469c5a02db5b02d93d57,ebe3c5ddf180ac6a272cdd05c473421f,k-means++,30,10,1,1e-16,,0.0011325491877555332
KMeans,daal4py,predict,0.003754763400002048,0.010695559122739265,1,2,acde85818fd0469c5a02db5b02d93d57,ad6352385cc5e69d5c24fad28c7fd226,k-means++,30,10,1,1e-16,,0.0011325491877555332
KMeans,daal4py,fit,0.1722308730999657,0.018971168584287882,10000,2,69eb8e74876d079894c936a9df45bcf6,d20d008faefbbe0f931b8b798b404983,k-means++,30,300,1,1e-16,30.0,
KMeans,daal4py,predict,0.0045362673000227,0.011589514540277207,1000,2,69eb8e74876d079894c936a9df45bcf6,ebe3c5ddf180ac6a272cdd05c473421f,k-means++,30,300,1,1e-16,,0.0006922932551800377
KMeans,daal4py,predict,0.003703521099964746,0.010565596740485288,1,2,69eb8e74876d079894c936a9df45bcf6,ad6352385cc5e69d5c24fad28c7fd226,k-means++,30,300,1,1e-16,,0.0006922932551800377
KMeans,daal4py,fit,0.007252605400003631,0.012067777901371491,10000,2,2c8c70ae910f9279aad5616efeae6be1,d20d008faefbbe0f931b8b798b404983,random,30,3,1,1e-16,30.0,
KMeans,daal4py,predict,0.003829406599970753,0.010847894677697317,1000,2,2c8c70ae910f9279aad5616efeae6be1,ebe3c5ddf180ac6a272cdd05c473421f,random,30,3,1,1e-16,,0.0009277157541369783
KMeans,daal4py,predict,0.0039309309999907786,0.011249701904425233,1,2,2c8c70ae910f9279aad5616efeae6be1,ad6352385cc5e69d5c24fad28c7fd226,random,30,3,1,1e-16,,0.0009277157541369783
KMeans,daal4py,fit,0.009762894799996502,0.01273969177313236,10000,2,9629e038afdd78d46e79e8e018cd76f2,d20d008faefbbe0f931b8b798b404983,random,30,10,1,1e-16,30.0,
