estimator,function,mean,stdev,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,C,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,max_iter,multi_class,n_jobs,penalty,random_state,solver,tol,verbose,warm_start,n_iter,throughput,latency,accuracy_score
LogisticRegression,fit,15.05293112000004,0.08438358399985191,1000000,1000000,100,f11be2529b0a77bc8fb5ee8de141e6b2,c5fdb575b370d3fe0ae44cf1690bcfb1,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,[20],[-0.07838136],,0.27
LogisticRegression,predict,0.00033566319998499237,8.736606312205874e-05,1000000,1000,100,f11be2529b0a77bc8fb5ee8de141e6b2,c5fdb575b370d3fe0ae44cf1690bcfb1,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,[20],2.383341397078287,3.3566319998499237e-07,0.27
LogisticRegression,predict,0.00010119399994437117,6.0732176647110704e-05,1000000,1,100,f11be2529b0a77bc8fb5ee8de141e6b2,c5fdb575b370d3fe0ae44cf1690bcfb1,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,[20],7.905607056147397,1.0119399994437116e-07,0.27
LogisticRegression,fit,1.1451820203001262,0.019178891349593337,1000,1000,10000,f11be2529b0a77bc8fb5ee8de141e6b2,a4ea4358bc870ac0ef6a8b403f49c4ca,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,[26],[1.81630515],,0.27
LogisticRegression,predict,0.002349772500065228,0.00027990385925133715,1000,100,10000,f11be2529b0a77bc8fb5ee8de141e6b2,a4ea4358bc870ac0ef6a8b403f49c4ca,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,[26],3.4045849118490943,2.349772500065228e-05,0.27
LogisticRegression,predict,0.00013610530004370958,0.0001037957246805351,1000,1,10000,f11be2529b0a77bc8fb5ee8de141e6b2,a4ea4358bc870ac0ef6a8b403f49c4ca,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,[26],58.77801964677965,1.3610530004370958e-06,0.27
