estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean_time,stdev_time,throughput,latency,learning_rate,max_bin,min_data_in_leaf,n_estimators,num_leaves,accuracy_score
LGBMClassifier,fit,100000,100000,100,9ba8c400f54e8d449f7d84be9bb9351f,cb16edecad38f292756cdc5794a48caa,18.543706663000194,0.0,0.002157066045474664,0.0003708741332600039,0.05,64,20,1000,50,
LGBMClassifier,predict,100000,1000,100,9ba8c400f54e8d449f7d84be9bb9351f,cb16edecad38f292756cdc5794a48caa,0.06299058199965657,0.0,0.012700311294224297,6.299058199965658e-05,0.05,64,20,1000,50,0.794
LGBMClassifier,fit,100000,100000,100,2b8ecac148813f9717c69732f945c378,cb16edecad38f292756cdc5794a48caa,1.5874007249999522,0.0,0.02519842618819593,3.174801449999904e-05,1.0,64,2,30,2,
LGBMClassifier,predict,100000,1000,100,2b8ecac148813f9717c69732f945c378,cb16edecad38f292756cdc5794a48caa,0.0019442009997874266,0.0,0.41148008878067116,1.9442009997874267e-06,1.0,64,2,30,2,0.63
LGBMClassifier,fit,100000,100000,100,39bcf931f9afb195e4cf2026825d25f6,cb16edecad38f292756cdc5794a48caa,1.8340410790001442,0.0,0.02180976231012591,3.6680821580002884e-05,1.0,128,20,1000,3,
LGBMClassifier,predict,100000,1000,100,39bcf931f9afb195e4cf2026825d25f6,cb16edecad38f292756cdc5794a48caa,0.0017694919997666148,0.0,0.45210715849832334,1.7694919997666148e-06,1.0,128,20,1000,3,0.706
LGBMClassifier,fit,100000,100000,100,cf2b671021535c5c857aa02c88556ce5,cb16edecad38f292756cdc5794a48caa,1.575730700999884,0.0,0.02538504833003374,3.151461401999768e-05,1.0,32,100,300,20,
LGBMClassifier,predict,100000,1000,100,cf2b671021535c5c857aa02c88556ce5,cb16edecad38f292756cdc5794a48caa,0.0015222779998111946,0.0,0.5255281887403106,1.5222779998111947e-06,1.0,32,100,300,20,0.745
LGBMClassifier,fit,100000,100000,100,cf9e6dd95b8282d8b234beb2e2422aa2,cb16edecad38f292756cdc5794a48caa,2.062264237999898,0.0,0.019396156546260188,4.124528475999796e-05,0.5,64,20,30,20,
LGBMClassifier,predict,100000,1000,100,cf9e6dd95b8282d8b234beb2e2422aa2,cb16edecad38f292756cdc5794a48caa,0.0025234300001102383,0.0,0.31702880601603817,2.523430000110238e-06,0.5,64,20,30,20,0.763
