estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean_time,stdev_time,throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier_kd_tree,predict,1000000,1000,2,84622ba45e941db642965553529e1941,4ce588ed31896f6cfe33968c228fa691,0.0010279970000738104,0.00022729129064762184,0.015564247754469318,1.0279970000738105e-06,kd_tree,1,5,0.98
KNeighborsClassifier_kd_tree,predict,1000000,1,2,84622ba45e941db642965553529e1941,4ce588ed31896f6cfe33968c228fa691,0.0001012254999295692,2.371725742341587e-05,0.0001580629387963754,0.0001012254999295692,kd_tree,1,5,1.0
KNeighborsClassifier_kd_tree,fit,1000000,1000000,2,41accfcdcd5c50784bedf6164b63de99,4ce588ed31896f6cfe33968c228fa691,0.4752198349997343,0.0,0.03366862833073654,4.752198349997343e-07,kd_tree,1,100,
KNeighborsClassifier_kd_tree,predict,1000000,1000,2,41accfcdcd5c50784bedf6164b63de99,4ce588ed31896f6cfe33968c228fa691,0.0065871661999608476,0.00043115520307214175,0.002428965584638672,6.587166199960847e-06,kd_tree,1,100,0.983
KNeighborsClassifier_kd_tree,predict,1000000,1,2,41accfcdcd5c50784bedf6164b63de99,4ce588ed31896f6cfe33968c228fa691,0.00011189609999746608,3.39145058389454e-05,0.0001429897914258167,0.00011189609999746608,kd_tree,1,100,1.0
KNeighborsClassifier_kd_tree,fit,1000000,1000000,2,a9455565db1d8e052a783317c99744ff,4ce588ed31896f6cfe33968c228fa691,0.4746035009998195,0.0,0.03371235139710039,4.746035009998195e-07,kd_tree,1,1,
KNeighborsClassifier_kd_tree,predict,1000000,1000,2,a9455565db1d8e052a783317c99744ff,4ce588ed31896f6cfe33968c228fa691,0.0007293304000086209,0.00015535483887430413,0.021937931011529035,7.293304000086209e-07,kd_tree,1,1,0.974
KNeighborsClassifier_kd_tree,predict,1000000,1,2,a9455565db1d8e052a783317c99744ff,4ce588ed31896f6cfe33968c228fa691,0.00010372589995313319,2.8218664472809705e-05,0.0001542526987688642,0.00010372589995313319,kd_tree,1,1,1.0
KNeighborsClassifier_kd_tree,fit,1000000,1000000,2,fe8267e25dadb302ed498e50fabf7ef4,4ce588ed31896f6cfe33968c228fa691,0.45706652600028974,0.0,0.035005845079081235,4.5706652600028974e-07,kd_tree,-1,1,
KNeighborsClassifier_kd_tree,predict,1000000,1000,2,fe8267e25dadb302ed498e50fabf7ef4,4ce588ed31896f6cfe33968c228fa691,0.0007126594999135704,0.00015709595486970444,0.022451114454996306,7.126594999135705e-07,kd_tree,-1,1,0.974
KNeighborsClassifier_kd_tree,predict,1000000,1,2,fe8267e25dadb302ed498e50fabf7ef4,4ce588ed31896f6cfe33968c228fa691,9.85656000466406e-05,3.127665947043997e-05,0.0001623284390540808,9.85656000466406e-05,kd_tree,-1,1,1.0
KNeighborsClassifier_kd_tree,fit,1000000,1000000,2,dc74b969bf622bc24ba3bc62c980983b,4ce588ed31896f6cfe33968c228fa691,0.46987303800005975,0.0,0.034051751656365446,4.6987303800005974e-07,kd_tree,-1,5,
KNeighborsClassifier_kd_tree,predict,1000000,1000,2,dc74b969bf622bc24ba3bc62c980983b,4ce588ed31896f6cfe33968c228fa691,0.0011143619999074872,0.00020931783967731183,0.014357991389986646,1.1143619999074872e-06,kd_tree,-1,5,0.98
KNeighborsClassifier_kd_tree,predict,1000000,1,2,dc74b969bf622bc24ba3bc62c980983b,4ce588ed31896f6cfe33968c228fa691,0.00010688600000321457,3.385813587488064e-05,0.00014969219541865916,0.00010688600000321457,kd_tree,-1,5,1.0
