estimator,function,mean,stdev,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,C,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,max_iter,multi_class,n_jobs,penalty,random_state,solver,tol,verbose,warm_start,n_iter,throughput,latency,accuracy_score
LogisticRegression,fit,11.213828099333265,0.1251761424584338,1000000,1000000,100,f11be2529b0a77bc8fb5ee8de141e6b2,c5fdb575b370d3fe0ae44cf1690bcfb1,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,[20],[-0.10521556],,0.33
LogisticRegression,predict,0.000376335199962341,0.00020031747498649107,1000000,1000,100,f11be2529b0a77bc8fb5ee8de141e6b2,c5fdb575b370d3fe0ae44cf1690bcfb1,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,[20],2.125764478263139,3.76335199962341e-07,0.33
LogisticRegression,predict,0.00020945290007148287,0.00011093580318891454,1000000,1,100,f11be2529b0a77bc8fb5ee8de141e6b2,c5fdb575b370d3fe0ae44cf1690bcfb1,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,[20],3.81947444856086,2.0945290007148285e-07,0.33
LogisticRegression,fit,0.7458111941000425,0.006438463372936896,1000,1000,10000,f11be2529b0a77bc8fb5ee8de141e6b2,a4ea4358bc870ac0ef6a8b403f49c4ca,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,[26],[2.7889096],,0.33
LogisticRegression,predict,0.0029260899999826507,0.0005190716864957338,1000,100,10000,f11be2529b0a77bc8fb5ee8de141e6b2,a4ea4358bc870ac0ef6a8b403f49c4ca,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,[26],2.7340239022201756,2.9260899999826507e-05,0.33
LogisticRegression,predict,0.0007439401000283397,0.00026511246860870394,1000,1,10000,f11be2529b0a77bc8fb5ee8de141e6b2,a4ea4358bc870ac0ef6a8b403f49c4ca,1.0,,False,True,1,,100,auto,,l2,,lbfgs,0.0001,0,False,[26],10.753553948355853,7.439401000283397e-06,0.33
