estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean_time,stdev_time,throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier_kd_tree,predict,1000000,1000,2,022f7445d43bb1dbc24dc3106c03cb93,4ce588ed31896f6cfe33968c228fa691,0.043701401700036516,0.001285162598864884,0.00036612097959289557,4.3701401700036516e-05,kd_tree,-1,100,0.98
KNeighborsClassifier_kd_tree,predict,1000000,1,2,022f7445d43bb1dbc24dc3106c03cb93,4ce588ed31896f6cfe33968c228fa691,0.0022135430999242088,0.00040657951155546,7.228230613873223e-06,0.0022135430999242088,kd_tree,-1,100,1.0
KNeighborsClassifier_kd_tree,fit,1000000,1000000,2,fe8267e25dadb302ed498e50fabf7ef4,4ce588ed31896f6cfe33968c228fa691,0.7534403059999022,0.0,0.02123592257088789,7.534403059999022e-07,kd_tree,-1,1,
KNeighborsClassifier_kd_tree,predict,1000000,1000,2,fe8267e25dadb302ed498e50fabf7ef4,4ce588ed31896f6cfe33968c228fa691,0.026073559700171244,0.0020378201800565704,0.0006136484693302126,2.6073559700171243e-05,kd_tree,-1,1,0.969
KNeighborsClassifier_kd_tree,predict,1000000,1,2,fe8267e25dadb302ed498e50fabf7ef4,4ce588ed31896f6cfe33968c228fa691,0.002132078500017087,0.0003002067185345942,7.504414119776439e-06,0.002132078500017087,kd_tree,-1,1,0.0
KNeighborsClassifier_kd_tree,fit,1000000,1000000,2,84622ba45e941db642965553529e1941,4ce588ed31896f6cfe33968c228fa691,0.7614815440001621,0.0,0.02101167142666375,7.614815440001621e-07,kd_tree,1,5,
KNeighborsClassifier_kd_tree,predict,1000000,1000,2,84622ba45e941db642965553529e1941,4ce588ed31896f6cfe33968c228fa691,0.02306409259999782,0.0013546429361437921,0.0006937190323282656,2.306409259999782e-05,kd_tree,1,5,0.979
KNeighborsClassifier_kd_tree,predict,1000000,1,2,84622ba45e941db642965553529e1941,4ce588ed31896f6cfe33968c228fa691,0.0006013334998897335,7.767099149745977e-05,2.660753143294681e-05,0.0006013334998897335,kd_tree,1,5,1.0
KNeighborsClassifier_kd_tree,fit,1000000,1000000,2,41accfcdcd5c50784bedf6164b63de99,4ce588ed31896f6cfe33968c228fa691,0.7442097840003044,0.0,0.021499314230990354,7.442097840003043e-07,kd_tree,1,100,
KNeighborsClassifier_kd_tree,predict,1000000,1000,2,41accfcdcd5c50784bedf6164b63de99,4ce588ed31896f6cfe33968c228fa691,0.044438221099971996,0.0012978386213261025,0.0003600504161497608,4.4438221099971994e-05,kd_tree,1,100,0.98
KNeighborsClassifier_kd_tree,predict,1000000,1,2,41accfcdcd5c50784bedf6164b63de99,4ce588ed31896f6cfe33968c228fa691,0.0006283850000727397,7.132562320973039e-05,2.5462097278178017e-05,0.0006283850000727397,kd_tree,1,100,1.0
KNeighborsClassifier_kd_tree,fit,1000000,1000000,2,a9455565db1d8e052a783317c99744ff,4ce588ed31896f6cfe33968c228fa691,0.7461810929999046,0.0,0.02144251596576174,7.461810929999047e-07,kd_tree,1,1,
KNeighborsClassifier_kd_tree,predict,1000000,1000,2,a9455565db1d8e052a783317c99744ff,4ce588ed31896f6cfe33968c228fa691,0.020992407400035516,0.0012440203810513387,0.0007621803300165054,2.0992407400035516e-05,kd_tree,1,1,0.969
KNeighborsClassifier_kd_tree,predict,1000000,1,2,a9455565db1d8e052a783317c99744ff,4ce588ed31896f6cfe33968c228fa691,0.0005728719000671845,0.0002255568105912848,2.79294550808367e-05,0.0005728719000671845,kd_tree,1,1,0.0
