estimator,function,mean,stdev,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,alpha,copy_X,fit_intercept,max_iter,normalize,random_state,solver,tol,n_iter
Ridge,fit,0.049461954699927445,0.0005027869909926434,1000,1000,1000,3bb02a1188eee1cdf3bfd0c2d57fd304,df66213c5388dbfe0e8eecb90f7b3609,1.0,True,True,,False,,auto,0.001,
Ridge,predict,8.243229995059664e-05,5.400894447541621e-05,1000,1,1000,3bb02a1188eee1cdf3bfd0c2d57fd304,df66213c5388dbfe0e8eecb90f7b3609,1.0,True,True,,False,,auto,0.001,
Ridge,predict,0.0003021084999545565,0.00015080919913283835,1000,100,1000,3bb02a1188eee1cdf3bfd0c2d57fd304,df66213c5388dbfe0e8eecb90f7b3609,1.0,True,True,,False,,auto,0.001,
Ridge,fit,0.012029226900085632,0.0011543461013239443,10000,10000,100,3bb02a1188eee1cdf3bfd0c2d57fd304,03fc9030cf245327135773e50bf5cf0a,1.0,True,True,,False,,auto,0.001,
Ridge,predict,8.951250006248302e-05,5.686172502637331e-05,10000,1,100,3bb02a1188eee1cdf3bfd0c2d57fd304,03fc9030cf245327135773e50bf5cf0a,1.0,True,True,,False,,auto,0.001,
Ridge,predict,0.0001678248000189342,7.196727085934302e-05,10000,1000,100,3bb02a1188eee1cdf3bfd0c2d57fd304,03fc9030cf245327135773e50bf5cf0a,1.0,True,True,,False,,auto,0.001,
