estimator,function,mean,stdev,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,algorithm,n_jobs,n_neighbors,throughput,latency,accuracy_score
KNeighborsClassifier,fit,0.108294425400004,0.0006274296286135243,1000000,1000000,2,2d5f2b2c02d77766434d9e5033b4a76c,4ce588ed31896f6cfe33968c228fa691,brute,-1,100,0.14774537046483474,,0.986
KNeighborsClassifier,predict,0.3667220167000096,0.0018362766599244345,1000000,1000,2,2d5f2b2c02d77766434d9e5033b4a76c,4ce588ed31896f6cfe33968c228fa691,brute,-1,100,4.362977751916246e-05,0.0003667220167000096,0.986
KNeighborsClassifier,predict,0.006226611500005674,0.00014731716726310026,1000000,1,2,2d5f2b2c02d77766434d9e5033b4a76c,4ce588ed31896f6cfe33968c228fa691,brute,-1,100,0.0025696159138859746,6.226611500005674e-06,0.986
KNeighborsClassifier,fit,0.11010278630003541,0.0024842219250900332,1000000,1000000,2,b79d63bb7670c492de5c3befac58fe29,4ce588ed31896f6cfe33968c228fa691,brute,1,1,0.1453187565698767,,0.986
KNeighborsClassifier,predict,0.311462617400025,0.0024556817909175987,1000000,1000,2,b79d63bb7670c492de5c3befac58fe29,4ce588ed31896f6cfe33968c228fa691,brute,1,1,5.1370530863581946e-05,0.000311462617400025,0.986
KNeighborsClassifier,predict,0.00630108569996537,0.0005155853429337029,1000000,1,2,b79d63bb7670c492de5c3befac58fe29,4ce588ed31896f6cfe33968c228fa691,brute,1,1,0.0025392449431512944,6.30108569996537e-06,0.986
KNeighborsClassifier,fit,0.10906860039999629,0.0010716775516310022,1000000,1000000,2,efac583623711d395ddae7a1e881ff68,4ce588ed31896f6cfe33968c228fa691,brute,1,5,0.14669666559689842,,0.986
KNeighborsClassifier,predict,0.3114049786000123,0.0014739911040002136,1000000,1000,2,efac583623711d395ddae7a1e881ff68,4ce588ed31896f6cfe33968c228fa691,brute,1,5,5.1380039175774976e-05,0.0003114049786000123,0.986
KNeighborsClassifier,predict,0.00633914720001485,0.001037441486261134,1000000,1,2,efac583623711d395ddae7a1e881ff68,4ce588ed31896f6cfe33968c228fa691,brute,1,5,0.002523998811695447,6.33914720001485e-06,0.986
KNeighborsClassifier,fit,0.1094267347000141,0.0008648971701503579,1000000,1000000,2,16f94fc93942ff7ece860c9b0f64645f,4ce588ed31896f6cfe33968c228fa691,brute,1,100,0.14621655342145506,,0.986
KNeighborsClassifier,predict,0.37116859610007397,0.0028729059757153516,1000000,1000,2,16f94fc93942ff7ece860c9b0f64645f,4ce588ed31896f6cfe33968c228fa691,brute,1,100,4.310709518023475e-05,0.000371168596100074,0.986
KNeighborsClassifier,predict,0.007762351599990325,0.0011034233957425482,1000000,1,2,16f94fc93942ff7ece860c9b0f64645f,4ce588ed31896f6cfe33968c228fa691,brute,1,100,0.0020612310321037174,7.762351599990325e-06,0.986
