estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,n_iter,mean_time,stdev_time,throughput,latency,early_stopping,learning_rate,max_bins,max_iter,max_leaf_nodes,min_samples_leaf,n_iter_no_change,validation_fraction,accuracy_score
HistGradientBoostingClassifier,fit,100000,100000,100,c9eedaaea60cdd61087e7ca00fc10f63,3fb67d8f178ec6e5a5f703600dfa5b82,1000,120.40646088999983,0.0,0.6644161734234999,0.0012040646088999983,True,0.01,128,1000,20,2,10,0.05,
HistGradientBoostingClassifier,predict,100000,1000,100,c9eedaaea60cdd61087e7ca00fc10f63,3fb67d8f178ec6e5a5f703600dfa5b82,1000,0.23862029200017787,0.0,3.352606743098796,0.00023862029200017788,True,0.01,128,1000,20,2,10,0.05,0.78
HistGradientBoostingClassifier,fit,100000,100000,100,a5d4f269487735643e7ee1812076a112,3fb67d8f178ec6e5a5f703600dfa5b82,30,4.4045295899995835,0.0,0.5448936034960834,4.404529589999583e-05,True,0.5,32,30,5,10,10,0.05,
HistGradientBoostingClassifier,predict,100000,1000,100,a5d4f269487735643e7ee1812076a112,3fb67d8f178ec6e5a5f703600dfa5b82,30,0.006285050999849773,0.0,3.818584765751886,6.285050999849773e-06,True,0.5,32,30,5,10,10,0.05,0.759
HistGradientBoostingClassifier,fit,100000,100000,100,c3c3545d59aa6b971db836714f487ff3,3fb67d8f178ec6e5a5f703600dfa5b82,30,8.041906306999863,0.0,0.29843670249067483,8.041906306999862e-05,True,0.01,32,30,50,10,10,0.05,
HistGradientBoostingClassifier,predict,100000,1000,100,c3c3545d59aa6b971db836714f487ff3,3fb67d8f178ec6e5a5f703600dfa5b82,30,0.009902452000005724,0.0,2.4236421443886957,9.902452000005723e-06,True,0.01,32,30,50,10,10,0.05,0.759
HistGradientBoostingClassifier,fit,100000,100000,100,cd3d7c4e0a0324f2a4974aa6890376d9,3fb67d8f178ec6e5a5f703600dfa5b82,101,21.590520161999848,0.0,0.3742383203078689,0.0002159052016199985,True,0.1,64,1000,50,1000,10,0.05,
HistGradientBoostingClassifier,predict,100000,1000,100,cd3d7c4e0a0324f2a4974aa6890376d9,3fb67d8f178ec6e5a5f703600dfa5b82,101,0.04198994699981995,0.0,1.9242701116137744,4.198994699981995e-05,True,0.1,64,1000,50,1000,10,0.05,0.801
HistGradientBoostingClassifier,fit,100000,100000,100,c7fe8e29ee5adf6cc99264cee060ca3a,3fb67d8f178ec6e5a5f703600dfa5b82,30,8.420898072,0.0,0.285005230971759,8.420898072e-05,True,0.01,128,30,50,2,10,0.05,
HistGradientBoostingClassifier,predict,100000,1000,100,c7fe8e29ee5adf6cc99264cee060ca3a,3fb67d8f178ec6e5a5f703600dfa5b82,30,0.009168710999801988,0.0,2.617598046281349,9.168710999801988e-06,True,0.01,128,30,50,2,10,0.05,0.763
HistGradientBoostingClassifier,fit,100000,100000,100,1aed5d204893cffef248dba8551956a1,3fb67d8f178ec6e5a5f703600dfa5b82,11,3.872639438999613,0.0,0.22723520065873293,3.8726394389996133e-05,True,1.0,255,30,50,100,10,0.05,
HistGradientBoostingClassifier,predict,100000,1000,100,1aed5d204893cffef248dba8551956a1,3fb67d8f178ec6e5a5f703600dfa5b82,11,0.00339558899986514,0.0,2.5915975108735196,3.39558899986514e-06,True,1.0,255,30,50,100,10,0.05,0.682
HistGradientBoostingClassifier,fit,100000,100000,100,2654fed201cc2ba97b6e76a37e0b69fb,3fb67d8f178ec6e5a5f703600dfa5b82,19,4.3711947150000015,0.0,0.3477310207170672,4.3711947150000014e-05,True,0.5,255,100,20,20,10,0.05,
HistGradientBoostingClassifier,predict,100000,1000,100,2654fed201cc2ba97b6e76a37e0b69fb,3fb67d8f178ec6e5a5f703600dfa5b82,19,0.005087582000214752,0.0,2.9876668325657243,5.087582000214752e-06,True,0.5,255,100,20,20,10,0.05,0.777
HistGradientBoostingClassifier,fit,100000,100000,100,85367d87c47d4cc53050990e683849d1,3fb67d8f178ec6e5a5f703600dfa5b82,581,46.659928296999624,0.0,0.9961438368303024,0.0004665992829699962,True,0.05,64,1000,5,1000,10,0.05,
HistGradientBoostingClassifier,predict,100000,1000,100,85367d87c47d4cc53050990e683849d1,3fb67d8f178ec6e5a5f703600dfa5b82,581,0.10480293399996299,0.0,4.434990341016255,0.00010480293399996299,True,0.05,64,1000,5,1000,10,0.05,0.764
